species,type,disp_dist
Bucephala clangula,natal,2.1183441664091
Burhinus oedicnemus,natal,5.32401098359735
Buteo buteo,natal,18.4946970187639
Calidris temminckii,natal,1.67984283726926
Caprimulgus europaeus,natal,5.19906010244066
Carduelis cannabina,natal,27.4082485990086
Carduelis chloris,natal,2.51966117441268
Carduelis flavirostris,natal,2.2412058221002
Certhia familiaris,natal,1.82233382632735
Charadrius alexandrinus,natal,8.47901614519747
Charadrius dubius,natal,10.1080219719045
Charadrius hiaticula,natal,7.06240543512754
Chlidonias hybrida,natal,1.3062061136753
Chlidonias niger,natal,5.18376170443492
Ciconia ciconia,natal,0.0138630294925871
Cinclus cinclus,natal,12.7062042864045
Circus pygargus,natal,28.8614465383174
Columba oenas,natal,0.486761814483989
Columba palumbus,natal,2.25417098196498
Coracias garrulus,natal,10.756952357197
Corvus corone,natal,9.35024888494754
Corvus cornix,natal,13.0713255374419
Corvus frugilegus,natal,5.86885764911908
Corvus monedula,natal,4.06113588966786
Cygnus cygnus,natal,17.0896802146133
Cygnus olor,natal,21.1611607588183
Delichon urbicum,natal,1.18868015159124
Dryocopus martius,natal,1.88688089162229
Emberiza schoeniclus,natal,3.32768998903211
Erithacus rubecula,natal,2.36636738428704
Falco naumanni,natal,2.24653977941226
Falco peregrinus,natal,41.9378394357685
Falco tinnunculus,natal,33.5007885733858
Ficedula albicollis,natal,1.79141509346894
Ficedula hypoleuca,natal,3.87798488242924
Fringilla coelebs,natal,1.09310324480962
Fulica atra,natal,1.16619791231178
Gavia stellata,natal,0.00428607905256204
Glaucidium passerinum,natal,21.667242831517
Gyps fulvus,natal,0.655266422007917
Haematopus ostralegus,natal,7.22524427737008
Himantopus himantopus,natal,19.2566096402279
Hippolais icterina,natal,1.05765932559598
Jynx torquilla,natal,3.08158961074926
Lanius collurio,natal,3.17973040580456
Larus argentatus,natal,39.70410866066
Larus cachinnans,natal,0.000478511780693013
Larus canus,natal,4.08965515073006
Larus fuscus,natal,29.4070632158008
Larus hyperboreus,natal,1.45379592483316
Larus marinus,natal,37.5224300347205
Larus melanocephalus,natal,0.00014024580700459
Larus ridibundus,natal,35.5939518353154
Limosa limosa,natal,4.8369021489603
Luscinia megarhynchos,natal,1.69654793700555
Merops apiaster,natal,1.46706080788725
Milvus migrans,natal,15.1228888806161
Motacilla alba,natal,5.3289584807917
Motacilla cinerea,natal,8.83804614341447
Muscicapa striata,natal,13.4549994769047
Numenius arquata,natal,10.2755890716485
Oenanthe oenanthe,natal,3.22525710464582
Panurus biarmicus,natal,2.11415718380351
Parus ater,natal,2.08595379837909
Parus caeruleus,natal,1.29095812308416
Parus cinctus,natal,3.26787260021593
Parus cristatus,natal,1.85649867444838
Parus major,natal,0.989550627082292
Parus montanus,natal,2.31282287057099
Parus palustris,natal,2.11066366975616
Passer domesticus,natal,1.15314264611726
Passer montanus,natal,0.953969600991305
Phalacrocorax aristotelis,natal,18.7450565394038
Phoenicurus ochruros,natal,12.4755040556707
Phoenicurus phoenicurus,natal,4.4091323783055
Phylloscopus sibilatrix,natal,2.20062185109
Phylloscopus trochilus,natal,0.411988144341063
Pica pica,natal,3.65389672908944
Pyrrhocorax pyrrhocorax,natal,7.95003221402555
Recurvirostra avosetta,natal,19.0430248921282
Remiz pendulinus,natal,3.67423794326632
Riparia riparia,natal,1.24339737565807
Rissa tridactyla,natal,3.49238899751421
Saxicola rubetra,natal,2.10507477608014
Saxicola torquatus,natal,3.28845280914833
Sitta europaea,natal,2.18613488735852
Somateria mollissima,natal,2.72392032332837
Stercorarius parasiticus,natal,9.77131018533203
Catharacta skua,natal,17.1038282263882
Sterna albifrons,natal,1.74230669222539
Sterna hirundo,natal,11.0181376218759
Sterna paradisaea,natal,3.39927293681932
Sterna sandvicensis,natal,5.12644100823482
Strix aluco,natal,11.8538893645798
Sturnus unicolor,natal,7.17083411247355
Sturnus vulgaris,natal,2.33817397778126
Tringa totanus,natal,3.78135975303114
Turdus iliacus,natal,0.54357016171342
Turdus merula,natal,1.33922014285785
Turdus philomelos,natal,1.612465086081
Turdus pilaris,natal,3.9859297392833
Turdus viscivorus,natal,3.29822070844287
Tyto alba,natal,11.8037252154145
Upupa epops,natal,0.758007947463396
Vanellus vanellus,natal,5.26124609944821
