x,y,for_cover_km2
4385349.2981,2704313.2586,15.911
4385349.2981,2699313.2586,19.147
4385349.2981,2694313.2586,15.607
4385349.2981,2689313.2586,22.492
4385349.2981,2684313.2586,20.832
4385349.2981,2679313.2586,21.869
4385349.2981,2674313.2586,12.464
4385349.2981,2669313.2586,5.621
4385349.2981,2664313.2586,5.638
4385349.2981,2659313.2586,6.893
4385349.2981,2654313.2586,4.509
4385349.2981,2649313.2586,0.11
4385349.2981,2644313.2586,0
4385349.2981,2639313.2586,0.261
4385349.2981,2634313.2586,0.008
4385349.2981,2629313.2586,0
4390349.2981,2709313.2586,6.691
4390349.2981,2704313.2586,16.854
4390349.2981,2699313.2586,12.161
4390349.2981,2694313.2586,12.102
4390349.2981,2689313.2586,17.31
4390349.2981,2684313.2586,20.47
4390349.2981,2679313.2586,9.321
4390349.2981,2674313.2586,14.25
4390349.2981,2669313.2586,20.579
4390349.2981,2664313.2586,12.262
4390349.2981,2659313.2586,4.037
4390349.2981,2654313.2586,0.008
4390349.2981,2649313.2586,0.143
4390349.2981,2644313.2586,2.798
4390349.2981,2639313.2586,1.256
4390349.2981,2634313.2586,0
4390349.2981,2629313.2586,0
4395349.2981,2699313.2586,7.433
4395349.2981,2694313.2586,14.984
4395349.2981,2689313.2586,20.006
4395349.2981,2684313.2586,9.118
4395349.2981,2679313.2586,1.567
4395349.2981,2674313.2586,3.329
4395349.2981,2669313.2586,1.652
4395349.2981,2664313.2586,12.801
4395349.2981,2659313.2586,11.975
4395349.2981,2654313.2586,15.489
4395349.2981,2649313.2586,13.441
4395349.2981,2644313.2586,1.289
4395349.2981,2639313.2586,0.194
4395349.2981,2634313.2586,0
4395349.2981,2629313.2586,0
4400349.2981,2699313.2586,13.5
4400349.2981,2694313.2586,15.616
4400349.2981,2689313.2586,19.324
4400349.2981,2684313.2586,5.183
4400349.2981,2679313.2586,6.809
4400349.2981,2674313.2586,0.303
4400349.2981,2669313.2586,0.017
4400349.2981,2664313.2586,0.691
4400349.2981,2659313.2586,0
4400349.2981,2654313.2586,2.781
4400349.2981,2649313.2586,2.402
4400349.2981,2644313.2586,1.399
4400349.2981,2639313.2586,0
4400349.2981,2634313.2586,0
4405349.2981,2704313.2586,1.348
4405349.2981,2699313.2586,14.419
4405349.2981,2694313.2586,23.445
4405349.2981,2689313.2586,19.45
4405349.2981,2684313.2586,12.304
4405349.2981,2679313.2586,14.149
4405349.2981,2674313.2586,9.093
4405349.2981,2669313.2586,1.534
4405349.2981,2664313.2586,0
4405349.2981,2659313.2586,1.239
4405349.2981,2654313.2586,0
4405349.2981,2649313.2586,0
4410349.2981,2704313.2586,12.506
4410349.2981,2699313.2586,21.801
4410349.2981,2694313.2586,18.22
4410349.2981,2689313.2586,19.383
4410349.2981,2684313.2586,20.31
4410349.2981,2679313.2586,21.161
4410349.2981,2674313.2586,4.559
4410349.2981,2669313.2586,5.208
4410349.2981,2664313.2586,4.913
4410349.2981,2659313.2586,9.565
4410349.2981,2654313.2586,0
4415349.2981,2704313.2586,1.5
4415349.2981,2699313.2586,23.183
4415349.2981,2694313.2586,11.63
4415349.2981,2689313.2586,19.349
4415349.2981,2684313.2586,14.68
4415349.2981,2679313.2586,16.956
4415349.2981,2674313.2586,2.604
4415349.2981,2669313.2586,18.734
4415349.2981,2664313.2586,12.354
4415349.2981,2659313.2586,0.91
4415349.2981,2654313.2586,0
4420349.2981,2709313.2586,0.051
4420349.2981,2704313.2586,7.391
4420349.2981,2699313.2586,15.338
4420349.2981,2694313.2586,14.722
4420349.2981,2689313.2586,12.843
4420349.2981,2684313.2586,15.464
4420349.2981,2679313.2586,19.315
4420349.2981,2674313.2586,20.234
4420349.2981,2669313.2586,15.22
4420349.2981,2664313.2586,7.5
4420349.2981,2659313.2586,6.169
4420349.2981,2654313.2586,0
4425349.2981,2714313.2586,6.683
4425349.2981,2709313.2586,11.495
4425349.2981,2704313.2586,2.301
4425349.2981,2699313.2586,10.189
4425349.2981,2694313.2586,2.882
4425349.2981,2689313.2586,12.464
4425349.2981,2684313.2586,16.787
4425349.2981,2679313.2586,21.186
4425349.2981,2674313.2586,23.546
4425349.2981,2669313.2586,14.486
4425349.2981,2664313.2586,16.172
4425349.2981,2659313.2586,10.846
4425349.2981,2654313.2586,2.452
4430349.2981,2714313.2586,7.121
4430349.2981,2709313.2586,22.029
